,Title,Price,Ratings,Notes,Product link
0,"waherfo Bluetooth Keyboard for Mac, Slim Compact Wireless Keyboard Rechargeable for MacBook Pro/Air, iOS, iMac, iMac Pro/Mini - Black Silver",$14.99,67,4.3 out of 5 stars,amazon.com/waherfo-Bluetooth-Keyboard-Wireless-Rechargeable/dp/B09MCP5G13/ref=sr_1_9601?qid=1661054033&s=computers-intl-ship&sr=1-9601
1,"Powered USB Hub Rosonway 4 Ports USB 3.1 Gen 2 Hub 10Gbps with 3.3ft Data Cable, 5V/2A Power Adapter and Individual Switches, Aluminum USB 3.1/3.2 Hub Splitter for PC and Laptop, RSH-A104",$26.99,32,4.6 out of 5 stars,amazon.com/Rosonway-Individual-Switches-Aluminum-RSH-A104/dp/B09XR353QL/ref=sr_1_9602?qid=1661054033&s=computers-intl-ship&sr=1-9602
2,"7 Color Backlit Bluetooth Keyboard and Mouse Combo for iPad 9th 8th iPad Pro Mini Air iPhone, iPadOS 13 or Later, Slim Rechargeable Android Tablet Phone Wireless Keyboard Mouse Combo Portable (Black)",$29.99,10,3.5 out of 5 stars,amazon.com/Bluetooth-Keyboard-Rechargeable-Wireless-Portable/dp/B0B1BS8S8B/ref=sr_1_9603?qid=1661054033&s=computers-intl-ship&sr=1-9603
3,"Plugable USB C to HDMI Multiport Adapter, 3-in-1 USB C Hub with 4K HDMI Output, USB 3.0 and USB-C Charging Port, Compatible with MacBook, Chromebook, Dell XPS, Thunderbolt 3 and More",$17.99,420,4.3 out of 5 stars,amazon.com/Plugable-Multiport-Compatible-Chromebook-Thunderbolt/dp/B08CL4Y3PJ/ref=sr_1_9604?qid=1661054033&s=computers-intl-ship&sr=1-9604
4,"ESR Slim Mouse Holder, Case for Magic Mouse, with Reusable Adhesive, No Glue Residue, Compact Elastic Pouch/Carrying Sleeve, Can Be Attached to iPad or MacBook, Black",$24.95,"1,094",4.6 out of 5 stars,amazon.com/ESR-Reusable-Adhesive-Carrying-Attached/dp/B07SRZMN48/ref=sr_1_9605?qid=1661054033&s=computers-intl-ship&sr=1-9605
5,"Lexmark, LEXB341X00, B341X00 Extra High Yield Return Program Toner Cartridge, 1 Each",$34.99,19,4.6 out of 5 stars,amazon.com/Lexmark-LEXB341X00-B341X00-Program-Cartridge/dp/B08C7YQ6TS/ref=sr_1_9606?qid=1661054033&s=computers-intl-ship&sr=1-9606
6,"2 Pack Wireless Controller, AGPTEK Classic Controller Wireless for Nintendo Classic Mini Edition and PC,No-Wired Gamepad Joypad Support Windows",$9.99,"1,451",4.2 out of 5 stars,amazon.com/Wireless-Controller-AGPTEK-Nintendo-No-Wired/dp/B07T2GV3YC/ref=sr_1_9607?qid=1661054033&s=computers-intl-ship&sr=1-9607
7,Logitech Over-The-Head Wireless Headset H600,$138.11,"4,109",4.0 out of 5 stars,amazon.com/Logitech-Over-The-Head-Wireless-Headset-H600/dp/B005GTO07O/ref=sr_1_9608?qid=1661054033&s=computers-intl-ship&sr=1-9608
8,Lowrance 6Ft/1.82M Ethernet Crossover Cable,$28.67,216,4.8 out of 5 stars,amazon.com/Lowrance-1-82M-Ethernet-Crossover-Cable/dp/B002IVD2VS/ref=sr_1_9609?qid=1661054033&s=computers-intl-ship&sr=1-9609
9,"Lightning to USB3 Adapter, ROSYCLO MFi Certified USB OTG Data Sync Converter Compatible iPhone 12/11/X/8/7/6/iPad, Camera, Card Reader, USB Flash Drive, MIDI Keyboard, Mouse iOS 9.2-14+ Silver",$33.99,393,4.1 out of 5 stars,amazon.com/Lightning-Certified-Converter-Compatible-Keyboard/dp/B08R3S3NZ1/ref=sr_1_9610?qid=1661054033&s=computers-intl-ship&sr=1-9610
